corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,bsis_blce_acntbk_amount,bsis_blce_qota_rt,bsis_blce_qy,corp_cls,frst_acqs_amount,frst_acqs_de,incrs_dcrs_acqs_dsps_amount,incrs_dcrs_acqs_dsps_qy,incrs_dcrs_evl_lstmn,inference_rule,inv_prm,invstmnt_purps,recent_bsns_year_fnnr_sttus_thstrm_ntpf,recent_bsns_year_fnnr_sttus_tot_assets,stlm_dt,trmend_blce_acntbk_amount,trmend_blce_qota_rt,trmend_blce_qy,value_source,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,"8,430,000,000",2.78,"1,831,035",E,"2,639,000,000",2007.09.17,"-964,000,000",-,"272,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",한국비티엘일호투융자회사,단순투자,"5,055,000,000","241,910,000,000",2024-12-31,"7,738,000,000",2.78,"1,831,035",api,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:23+09:00,000,run_20260831_152517_1132,raw/otrCprInvstmntSttus/00148391_2024_11011.json,534c9d6b500d515422f85c1e2d9319cc7e64174e13c45bdb26b17e2be2710001,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,"65,546,000,000",-,-,E,-,-,"-20,109,000,000",-,"6,811,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",합계,-,-,-,2024-12-31,"52,248,000,000",-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:23+09:00,000,run_20260831_152517_1132,raw/otrCprInvstmntSttus/00148391_2024_11011.json,534c9d6b500d515422f85c1e2d9319cc7e64174e13c45bdb26b17e2be2710001,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,"33,100,000,000",100,"3,310,000",E,"7,000,000,000",2018.12.03,-,-,"-3,379,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",에이비에이금융서비스(유),경영참가,"-182,000,000","36,712,000,000",2025-12-31,"29,721,000,000",100,"3,310,000",api,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:39+09:00,000,run_20260831_152517_1140,raw/otrCprInvstmntSttus/00148391_2025_11011.json,c835555c2f33bae8f0c25c2cd1aaeb81ec98fa7adecf61c1ee3f393b96800dae,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,"44,510,000,000",4.68,"5,735,804",E,"840,000,000",2024.11.29,"-3,345,000,000","-431,062","11,989,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",발해인프라투융자회사(상장),단순투자,"52,909,000,000","1,022,257,000,000",2025-12-31,"53,154,000,000",4.33,"5,304,742",api,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:39+09:00,000,run_20260831_152517_1140,raw/otrCprInvstmntSttus/00148391_2025_11011.json,c835555c2f33bae8f0c25c2cd1aaeb81ec98fa7adecf61c1ee3f393b96800dae,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,"7,738,000,000",2.78,"1,831,035",E,"2,639,000,000",2007.09.17,"-987,000,000",-,"-51,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",한국비티엘일호투융자회사,단순투자,"9,350,000,000","205,962,000,000",2025-12-31,"6,700,000,000",2.78,"1,831,035",api,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:39+09:00,000,run_20260831_152517_1140,raw/otrCprInvstmntSttus/00148391_2025_11011.json,c835555c2f33bae8f0c25c2cd1aaeb81ec98fa7adecf61c1ee3f393b96800dae,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,"85,348,000,000",-,-,E,-,-,"-4,332,000,000",-,"8,559,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",합계,-,-,-,2025-12-31,"89,575,000,000",-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:39+09:00,000,run_20260831_152517_1140,raw/otrCprInvstmntSttus/00148391_2025_11011.json,c835555c2f33bae8f0c25c2cd1aaeb81ec98fa7adecf61c1ee3f393b96800dae,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11012,반기보고서,IFRS17,"44,510,000,000",4.68,"5,735,804",E,"840,000,000",2024.11.29,-,-,"1,778,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",발해인프라투융자회사(상장),단순투자,"27,726,000,000","960,332,000,000",2025-06-30,"46,288,000,000",4.68,"5,735,804",api,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20250829002137,api_row,2026-08-31T16:08:03+09:00,000,run_20260831_152517_1149,raw/otrCprInvstmntSttus/00148391_2025_11012.json,5213eb22925c5783c1c07e8875a52037b6e034fe9ab4d68884908b52c43bc941,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11012,반기보고서,IFRS17,"7,738,000,000",2.78,"1,831,035",E,"2,639,000,000",2007.09.17,"-492,000,000",-,"-29,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",한국비티엘일호투융자회사,단순투자,"4,695,000,000","223,838,000,000",2025-06-30,"7,217,000,000",2.78,"1,831,035",api,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20250829002137,api_row,2026-08-31T16:08:03+09:00,000,run_20260831_152517_1149,raw/otrCprInvstmntSttus/00148391_2025_11012.json,5213eb22925c5783c1c07e8875a52037b6e034fe9ab4d68884908b52c43bc941,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11012,반기보고서,IFRS17,"52,248,000,000",-,-,E,-,-,"-492,000,000",-,"1,749,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",합계,-,-,-,2025-06-30,"53,505,000,000",-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20250829002137,api_row,2026-08-31T16:08:03+09:00,000,run_20260831_152517_1149,raw/otrCprInvstmntSttus/00148391_2025_11012.json,5213eb22925c5783c1c07e8875a52037b6e034fe9ab4d68884908b52c43bc941,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,"29,721,000,000",100.00,"3,310,000",E,"100,000,000",2018.12.03,"20,000,000,000","2,000,000",-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",에이비에이금융서비스(주),경영참가,"-2,022,000,000","58,345,000,000",2026-06-30,"49,721,000,000",100.00,"5,310,000",api,otrCprInvstmntSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:26+09:00,000,run_20260831_152517_1158,raw/otrCprInvstmntSttus/00148391_2026_11012.json,4b2e2d66c757973eb58c32ce6c4bf608bb6469d8f894a9a178a93bd9f4ac7b3f,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,"53,154,000,000",4.33,"5,304,742",E,"840,000,000",2024.11.29,-,-,"637,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",발해인프라투융자회사,단순투자,"13,054,000,000","994,800,000,000",2026-06-30,"53,790,000,000",4.33,"5,304,742",api,otrCprInvstmntSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:26+09:00,000,run_20260831_152517_1158,raw/otrCprInvstmntSttus/00148391_2026_11012.json,4b2e2d66c757973eb58c32ce6c4bf608bb6469d8f894a9a178a93bd9f4ac7b3f,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,"6,700,000,000",2.78,"1,831,035",E,"2,639,000,000",2007.09.17,"-500,000,000",-,"-85,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",한국비티엘일호투융자회사,단순투자,"4,253,000,000","187,534,000,000",2026-06-30,"6,114,000,000",2.78,"1,831,035",api,otrCprInvstmntSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:26+09:00,000,run_20260831_152517_1158,raw/otrCprInvstmntSttus/00148391_2026_11012.json,4b2e2d66c757973eb58c32ce6c4bf608bb6469d8f894a9a178a93bd9f4ac7b3f,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,"89,574,000,000",-,-,E,-,-,"19,500,000,000",-,"552,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",합계,-,-,-,2026-06-30,"109,625,000,000",-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:26+09:00,000,run_20260831_152517_1158,raw/otrCprInvstmntSttus/00148391_2026_11012.json,4b2e2d66c757973eb58c32ce6c4bf608bb6469d8f894a9a178a93bd9f4ac7b3f,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"14,821,721,000,000",100,"404,379,116",Y,"12,227,020,000,000",2008.09.29,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB국민은행
 (비상장)",설립시 주식이전,"1,055,713,000,000","285,528,354,000,000",2015-12-31,"14,821,721,000,000",100,"404,379,116",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"104,910,000,000",100,"8,951,797",Y,"104,741,000,000",2008.09.29,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB인베스트먼트
 (비상장)",설립시 주식이전,"4,939,000,000","143,259,000,000",2015-12-31,"104,910,000,000",100,"8,951,797",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"23,621,000,000",100,"1,252,400",Y,"42,721,000,000",2008.09.29,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB신용정보
 (비상장)",설립시 주식이전,"-336,000,000","30,142,000,000",2015-12-31,"23,621,000,000",100,"1,252,400",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"6,334,000,000",100,"800,000",Y,"16,698,000,000",2008.09.29,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB데이타시스템
 (비상장)",설립시 주식이전,"-140,000,000","28,388,000,000",2015-12-31,"6,334,000,000",100,"800,000",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,-,-,-,Y,"651,403,000,000",2015.06.24,"883,065,000,000","19,972,759",-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB손해보험
 (상장)",자회사 편입,"173,736,000,000","26,503,642,000,000",2015-12-31,"883,065,000,000",    33.29,"19,972,759",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"1,953,175,000,000",100,"92,000,000",Y,"1,953,175,000,000",2011.03.02,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB국민카드
 (비상장)",자회사 편입,"354,614,000,000","16,123,021,000,000",2015-12-31,"1,953,175,000,000",100,"92,000,000",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"507,212,000,000",100,"31,588,314",Y,"418,331,000,000",2008.09.29,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB투자증권
 (비상장)",설립시 주식이전,"47,097,000,000","6,034,407,000,000",2015-12-31,"507,212,000,000",100,"31,588,314",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"485,314,000,000",100,"91,200,000",Y,"76,091,000,000",2008.09.29,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB생명보험
 (비상장)",자회사 편입,"12,637,000,000","8,515,416,000,000",2015-12-31,"485,314,000,000",100,"91,200,000",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"96,312,000,000",100,"7,667,550",Y,"101,961,000,000",2008.09.29,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB자산운용
 (비상장)",설립시 주식이전,"24,581,000,000","223,470,000,000",2015-12-31,"96,312,000,000",100,"7,667,550",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"279,870,000,000",52.02,"11,180,630",Y,"279,870,000,000",2014.03.20,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB캐피탈
 (상장)",자회사 편입,"63,087,000,000","5,587,682,000,000",2015-12-31,"279,870,000,000",52.02,"11,180,630",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"157,544,000,000",100,"8,001,912",Y,"171,526,000,000",2012.01.02,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB저축은행
 (비상장)",자회사 편입,"14,424,000,000","847,639,000,000",2015-12-31,"157,544,000,000",100,"8,001,912",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"121,553,000,000",100,"16,000,000",Y,"107,643,000,000",2008.09.29,-,-,-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4","KB부동산신탁
 (비상장)",설립시 주식이전,"20,289,000,000","223,821,000,000",2015-12-31,"121,553,000,000",100,"16,000,000",api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,"18,557,566,000,000",-,-,Y,-,-,"883,065,000,000","19,972,759",-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",합계,-,"1,770,641,000,000","349,789,241,000,000",2015-12-31,"19,440,631,000,000",-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:05:30+09:00,000,run_20260831_150050_0033,raw/otrCprInvstmntSttus/00688996_2015_11011.json,0c0e16f433007b9b229d1bdcb0ef619d5300e4522c1143f801a2a808d2675fe6,0
