corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,corp_cls,inference_rule,remndr_exprtn1,remndr_exprtn2,sm,stlm_dt,value_source,yy10_excess,yy1_below,yy1_excess_yy2_below,yy2_excess_yy3_below,yy3_excess_yy4_below,yy4_excess_yy5_below,yy5_excess_yy10_below,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"31,616,801,000,000",2015-12-31,api,"170,000,000,000","10,529,217,000,000","8,271,600,000,000","4,794,984,000,000","1,045,000,000,000","3,656,000,000,000","3,150,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:35:32+09:00,000,run_20260831_152517_0249,raw/cprndNrdmpBlce/00688996_2015_11011.json,c33ee5a415e940f56efbf58dbe0d148741c809034acf9c93f86ac3e09aee3f29,0
KB금융,지주,지주,00688996,KB금융,2016,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"32,518,388,000,000",2016-12-31,api,"20,000,000,000","9,792,854,000,000","7,517,784,000,000","5,209,250,000,000","4,044,250,000,000","2,564,250,000,000","3,370,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2016"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20170331004054,api_row,2026-08-31T15:35:40+09:00,000,run_20260831_152517_0256,raw/cprndNrdmpBlce/00688996_2016_11011.json,1912b45e2edb1974dd1c41c5af1c707d996870e4804888b26f483d883e1f4831,0
KB금융,지주,지주,00688996,KB금융,2016,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,"518,000,000,000",2016-12-31,api,-,"397,150,000,000","120,850,000,000",-,-,-,-,cprndNrdmpBlce,"{""bsns_year"": ""2016"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20170331004054,api_row,2026-08-31T15:35:40+09:00,000,run_20260831_152517_0256,raw/cprndNrdmpBlce/00688996_2016_11011.json,1912b45e2edb1974dd1c41c5af1c707d996870e4804888b26f483d883e1f4831,0
KB금융,지주,지주,00688996,KB금융,2016,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"33,036,388,000,000",2016-12-31,api,"20,000,000,000","10,190,004,000,000","7,638,634,000,000","5,209,250,000,000","4,044,250,000,000","2,564,250,000,000","3,370,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2016"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20170331004054,api_row,2026-08-31T15:35:40+09:00,000,run_20260831_152517_0256,raw/cprndNrdmpBlce/00688996_2016_11011.json,1912b45e2edb1974dd1c41c5af1c707d996870e4804888b26f483d883e1f4831,0
KB금융,지주,지주,00688996,KB금융,2017,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"40,850,636,000,000",2017-12-31,api,-,"10,724,276,000,000","10,250,700,000,000","8,845,700,000,000","2,930,700,000,000","4,948,560,000,000","3,150,700,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2017"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000354,api_row,2026-08-31T15:35:48+09:00,000,run_20260831_152517_0263,raw/cprndNrdmpBlce/00688996_2017_11011.json,ad95b183801136a8c2daf6e35211b405f5155cd6e5a5686a859d3625d63d14b7,0
KB금융,지주,지주,00688996,KB금융,2017,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,"1,163,518,000,000",2017-12-31,api,-,"374,990,000,000",-,"498,139,000,000","215,391,000,000","74,998,000,000",-,cprndNrdmpBlce,"{""bsns_year"": ""2017"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000354,api_row,2026-08-31T15:35:48+09:00,000,run_20260831_152517_0263,raw/cprndNrdmpBlce/00688996_2017_11011.json,ad95b183801136a8c2daf6e35211b405f5155cd6e5a5686a859d3625d63d14b7,0
KB금융,지주,지주,00688996,KB금융,2017,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"42,014,154,000,000",2017-12-31,api,-,"11,099,266,000,000","10,250,700,000,000","9,343,839,000,000","3,146,091,000,000","5,023,558,000,000","3,150,700,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2017"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000354,api_row,2026-08-31T15:35:48+09:00,000,run_20260831_152517_0263,raw/cprndNrdmpBlce/00688996_2017_11011.json,ad95b183801136a8c2daf6e35211b405f5155cd6e5a5686a859d3625d63d14b7,0
KB금융,지주,지주,00688996,KB금융,2018,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"47,196,394,000,000",2018-12-31,api,"50,000,000,000","15,461,144,000,000","11,429,050,000,000","7,959,480,000,000","5,247,240,000,000","4,739,480,000,000","2,310,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2018"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000426,api_row,2026-08-31T15:35:57+09:00,000,run_20260831_152517_0270,raw/cprndNrdmpBlce/00688996_2018_11011.json,a7396357aa8715a5e1a7e6063a70349f4f9c6418d47d5fcea1f9f55eb85076c6,0
KB금융,지주,지주,00688996,KB금융,2018,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,"1,688,819,000,000",2018-12-31,api,-,"143,789,000,000","852,091,000,000","265,476,000,000","378,267,000,000","49,196,000,000",-,cprndNrdmpBlce,"{""bsns_year"": ""2018"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000426,api_row,2026-08-31T15:35:57+09:00,000,run_20260831_152517_0270,raw/cprndNrdmpBlce/00688996_2018_11011.json,a7396357aa8715a5e1a7e6063a70349f4f9c6418d47d5fcea1f9f55eb85076c6,0
KB금융,지주,지주,00688996,KB금융,2018,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"48,885,213,000,000",2018-12-31,api,"50,000,000,000","15,604,933,000,000","12,281,141,000,000","8,224,956,000,000","5,625,507,000,000","4,788,676,000,000","2,310,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2018"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20210427000426,api_row,2026-08-31T15:35:57+09:00,000,run_20260831_152517_0270,raw/cprndNrdmpBlce/00688996_2018_11011.json,a7396357aa8715a5e1a7e6063a70349f4f9c6418d47d5fcea1f9f55eb85076c6,0
